trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
98,none,156.6314786999992,9350.812326700001,,,NaN,NaN,NaN
99,none,158.12949749999825,9352.3120481,,,NaN,NaN,NaN
100,right,159.62967489999937,9353.812390300001,159.62967489999937,9353.812390300001,False,NaN,NaN
101,none,161.12973079999938,9355.3122621,,,NaN,NaN,NaN
102,left,162.63429369999903,9356.815242300001,162.63429369999903,9356.815242300001,NaN,NaN,NaN
103,none,164.1370455999986,9358.3159971,,,NaN,NaN,NaN
104,left,165.63234609999927,9359.8152234,165.63234609999927,9359.8152234,NaN,NaN,NaN
105,none,167.13292529999853,9361.315578200001,,,NaN,NaN,NaN
106,none,168.63363429999845,9362.8162261,,,NaN,NaN,NaN
107,right,170.13687559999926,9364.3186387,170.13687559999926,9364.3186387,False,NaN,NaN
108,none,171.6367670999989,9365.818382000001,,,NaN,NaN,NaN
109,none,173.1363698999994,9367.3189124,,,NaN,NaN,NaN
110,none,174.6373552999994,9368.8202973,,,NaN,NaN,NaN
